"Time","8508A"
2025-01-01 22:30:01,20.5887450 V
2025-01-01 22:30:26,20.5887500 V
2025-01-01 22:30:51,20.5887500 V
2025-01-01 22:31:16,20.5887500 V
2025-01-01 22:31:42,20.5887480 V
2025-01-01 22:32:07,20.5887490 V
2025-01-01 22:32:32,20.5887470 V
2025-01-01 22:32:57,20.5887480 V
2025-01-01 22:33:22,20.5887500 V
2025-01-01 22:33:47,20.5887480 V
2025-01-01 22:34:12,20.5887510 V
2025-01-01 22:34:38,20.5887470 V
2025-01-01 22:35:03,20.5887470 V
2025-01-01 22:35:28,20.5887470 V
2025-01-01 22:35:53,20.5887460 V
2025-01-01 22:36:18,20.5887460 V
2025-01-01 22:36:43,20.5887470 V
2025-01-01 22:37:08,20.5887470 V
2025-01-01 22:37:33,20.5887460 V
2025-01-01 22:37:59,20.5887480 V
2025-01-01 22:38:24,20.5887470 V
2025-01-01 22:38:49,20.5887490 V
2025-01-01 22:39:14,20.5887510 V
2025-01-01 22:39:39,20.5887490 V
2025-01-01 22:40:04,20.5887470 V
2025-01-01 22:40:29,20.5887480 V
2025-01-01 22:40:55,20.5887500 V
2025-01-01 22:41:20,20.5887470 V
2025-01-01 22:41:45,20.5887460 V
2025-01-01 22:42:10,20.5887490 V
2025-01-01 22:42:35,20.5887460 V
2025-01-01 22:43:00,20.5887470 V
2025-01-01 22:43:25,20.5887470 V
2025-01-01 22:43:50,20.5887470 V
2025-01-01 22:44:16,20.5887450 V
2025-01-01 22:44:41,20.5887460 V
2025-01-01 22:45:06,20.5887470 V
2025-01-01 22:45:31,20.5887450 V
2025-01-01 22:45:56,20.5887470 V
2025-01-01 22:46:21,20.5887490 V
2025-01-01 22:46:46,20.5887500 V
2025-01-01 22:47:12,20.5887470 V
2025-01-01 22:47:37,20.5887450 V
2025-01-01 22:48:02,20.5887460 V
2025-01-01 22:48:27,20.5887500 V
2025-01-01 22:48:52,20.5887510 V
2025-01-01 22:49:17,20.5887460 V
2025-01-01 22:49:42,20.5887470 V
2025-01-01 22:50:07,20.5887480 V
2025-01-01 22:50:33,20.5887440 V
2025-01-01 22:50:58,20.5887490 V
2025-01-01 22:51:23,20.5887460 V
2025-01-01 22:51:48,20.5887490 V
2025-01-01 22:52:13,20.5887470 V
2025-01-01 22:52:38,20.5887510 V
2025-01-01 22:53:03,20.5887500 V
2025-01-01 22:53:28,20.5887480 V
2025-01-01 22:53:54,20.5887490 V
2025-01-01 22:54:19,20.5887480 V
2025-01-01 22:54:44,20.5887470 V
2025-01-01 22:55:09,20.5887470 V
2025-01-01 22:55:34,20.5887470 V
2025-01-01 22:55:59,20.5887500 V
2025-01-01 22:56:24,20.5887490 V
2025-01-01 22:56:50,20.5887490 V
2025-01-01 22:57:15,20.5887500 V
2025-01-01 22:57:40,20.5887500 V
2025-01-01 22:58:05,20.5887490 V
2025-01-01 22:58:30,20.5887490 V
2025-01-01 22:58:55,20.5887460 V
2025-01-01 22:59:20,20.5887480 V
2025-01-01 22:59:45,20.5887470 V
2025-01-01 23:00:11,20.5887500 V
2025-01-01 23:00:36,20.5887470 V
2025-01-01 23:01:01,20.5887490 V
2025-01-01 23:01:26,20.5887470 V
2025-01-01 23:01:51,20.5887470 V
2025-01-01 23:02:16,20.5887480 V
2025-01-01 23:02:41,20.5887500 V
2025-01-01 23:03:07,20.5887520 V
2025-01-01 23:03:32,20.5887470 V
2025-01-01 23:03:57,20.5887470 V
2025-01-01 23:04:22,20.5887460 V
2025-01-01 23:04:47,20.5887490 V
2025-01-01 23:05:12,20.5887500 V
2025-01-01 23:05:37,20.5887460 V
2025-01-01 23:06:02,20.5887510 V
2025-01-01 23:06:28,20.5887490 V
2025-01-01 23:06:53,20.5887510 V
2025-01-01 23:07:18,20.5887490 V
2025-01-01 23:07:43,20.5887500 V
2025-01-01 23:08:08,20.5887490 V
2025-01-01 23:08:33,20.5887500 V
2025-01-01 23:08:58,20.5887500 V
2025-01-01 23:09:24,20.5887460 V
2025-01-01 23:09:49,20.5887490 V
2025-01-01 23:10:14,20.5887480 V
2025-01-01 23:10:39,20.5887470 V
2025-01-01 23:11:04,20.5887470 V
2025-01-01 23:11:29,20.5887490 V
2025-01-01 23:11:54,20.5887480 V
2025-01-01 23:12:19,20.5887470 V
2025-01-01 23:12:45,20.5887500 V
2025-01-01 23:13:10,20.5887500 V
2025-01-01 23:13:35,20.5887470 V
2025-01-01 23:14:00,20.5887470 V
2025-01-01 23:14:25,20.5887480 V
2025-01-01 23:14:50,20.5887480 V
2025-01-01 23:15:15,20.5887470 V
2025-01-01 23:15:41,20.5887480 V
2025-01-01 23:16:06,20.5887470 V
2025-01-01 23:16:31,20.5887490 V
2025-01-01 23:16:56,20.5887470 V
2025-01-01 23:17:21,20.5887500 V
2025-01-01 23:17:46,20.5887450 V
2025-01-01 23:18:11,20.5887500 V
2025-01-01 23:18:36,20.5887460 V
2025-01-01 23:19:02,20.5887530 V
2025-01-01 23:19:27,20.5887470 V
2025-01-01 23:19:52,20.5887470 V
2025-01-01 23:20:17,20.5887470 V
2025-01-01 23:20:42,20.5887460 V
2025-01-01 23:21:07,20.5887470 V
2025-01-01 23:21:32,20.5887470 V
2025-01-01 23:21:57,20.5887490 V
2025-01-01 23:22:23,20.5887460 V
2025-01-01 23:22:48,20.5887480 V
2025-01-01 23:23:13,20.5887470 V
2025-01-01 23:23:38,20.5887480 V
2025-01-01 23:24:03,20.5887490 V
2025-01-01 23:24:28,20.5887460 V
2025-01-01 23:24:53,20.5887490 V
2025-01-01 23:25:19,20.5887490 V
2025-01-01 23:25:44,20.5887500 V
2025-01-01 23:26:09,20.5887480 V
2025-01-01 23:26:34,20.5887490 V
2025-01-01 23:26:59,20.5887490 V
2025-01-01 23:27:24,20.5887500 V
2025-01-01 23:27:49,20.5887520 V
2025-01-01 23:28:14,20.5887480 V
2025-01-01 23:28:40,20.5887500 V
2025-01-01 23:29:05,20.5887510 V
2025-01-01 23:29:30,20.5887480 V
2025-01-01 23:29:55,20.5887500 V
2025-01-01 23:30:20,20.5887490 V
2025-01-01 23:30:45,20.5887490 V
2025-01-01 23:31:10,20.5887500 V
2025-01-01 23:31:36,20.5887490 V
2025-01-01 23:32:01,20.5887460 V
2025-01-01 23:32:26,20.5887490 V
2025-01-01 23:32:51,20.5887500 V
2025-01-01 23:33:16,20.5887500 V
2025-01-01 23:33:41,20.5887480 V
2025-01-01 23:34:06,20.5887480 V
2025-01-01 23:34:31,20.5887500 V
2025-01-01 23:34:57,20.5887490 V
2025-01-01 23:35:22,20.5887480 V
2025-01-01 23:35:47,20.5887510 V
2025-01-01 23:36:12,20.5887480 V
2025-01-01 23:36:37,20.5887520 V
2025-01-01 23:37:02,20.5887490 V
2025-01-01 23:37:27,20.5887500 V
2025-01-01 23:37:53,20.5887510 V
2025-01-01 23:38:18,20.5887500 V
2025-01-01 23:38:43,20.5887500 V
2025-01-01 23:39:08,20.5887480 V
2025-01-01 23:39:33,20.5887500 V
2025-01-01 23:39:58,20.5887490 V
2025-01-01 23:40:23,20.5887500 V
2025-01-01 23:40:48,20.5887520 V
2025-01-01 23:41:14,20.5887480 V
2025-01-01 23:41:39,20.5887480 V
2025-01-01 23:42:04,20.5887490 V
2025-01-01 23:42:29,20.5887490 V
2025-01-01 23:42:54,20.5887520 V
2025-01-01 23:43:19,20.5887530 V
2025-01-01 23:43:44,20.5887510 V
2025-01-01 23:44:09,20.5887520 V
2025-01-01 23:44:35,20.5887530 V
2025-01-01 23:45:00,20.5887520 V
2025-01-01 23:45:25,20.5887470 V
2025-01-01 23:45:50,20.5887500 V
2025-01-01 23:46:15,20.5887510 V
2025-01-01 23:46:40,20.5887520 V
2025-01-01 23:47:05,20.5887490 V
2025-01-01 23:47:31,20.5887520 V
2025-01-01 23:47:56,20.5887530 V
2025-01-01 23:48:21,20.5887470 V
2025-01-01 23:48:46,20.5887520 V
2025-01-01 23:49:11,20.5887520 V
2025-01-01 23:49:36,20.5887520 V
2025-01-01 23:50:01,20.5887520 V
2025-01-01 23:50:26,20.5887510 V
2025-01-01 23:50:52,20.5887510 V
2025-01-01 23:51:17,20.5887540 V
2025-01-01 23:51:42,20.5887520 V
2025-01-01 23:52:07,20.5887530 V
2025-01-01 23:52:32,20.5887510 V
2025-01-01 23:52:57,20.5887510 V
2025-01-01 23:53:22,20.5887500 V
2025-01-01 23:53:48,20.5887500 V
2025-01-01 23:54:13,20.5887510 V
2025-01-01 23:54:38,20.5887530 V
2025-01-01 23:55:03,20.5887510 V
2025-01-01 23:55:28,20.5887510 V
2025-01-01 23:55:53,20.5887520 V
2025-01-01 23:56:18,20.5887500 V
2025-01-01 23:56:43,20.5887520 V
2025-01-01 23:57:09,20.5887500 V
2025-01-01 23:57:34,20.5887550 V
2025-01-01 23:57:59,20.5887510 V
2025-01-01 23:58:24,20.5887540 V
2025-01-01 23:58:49,20.5887560 V
2025-01-01 23:59:14,20.5887520 V
2025-01-01 23:59:39,20.5887520 V
2025-01-02 00:00:05,20.5887530 V
2025-01-02 00:00:30,20.5887530 V
2025-01-02 00:00:55,20.5887530 V
2025-01-02 00:01:20,20.5887570 V
2025-01-02 00:01:45,20.5887530 V
2025-01-02 00:02:10,20.5887530 V
2025-01-02 00:02:35,20.5887510 V
2025-01-02 00:03:00,20.5887540 V
2025-01-02 00:03:26,20.5887520 V
2025-01-02 00:03:51,20.5887530 V
2025-01-02 00:04:16,20.5887530 V
2025-01-02 00:04:41,20.5887530 V
2025-01-02 00:05:06,20.5887490 V
2025-01-02 00:05:31,20.5887560 V
2025-01-02 00:05:56,20.5887540 V
2025-01-02 00:06:21,20.5887530 V
2025-01-02 00:06:47,20.5887500 V
2025-01-02 00:07:12,20.5887530 V
2025-01-02 00:07:37,20.5887530 V
2025-01-02 00:08:02,20.5887540 V
2025-01-02 00:08:27,20.5887540 V
2025-01-02 00:08:52,20.5887580 V
2025-01-02 00:09:17,20.5887530 V
2025-01-02 00:09:43,20.5887570 V
2025-01-02 00:10:08,20.5887530 V
2025-01-02 00:10:33,20.5887540 V
2025-01-02 00:10:58,20.5887540 V
2025-01-02 00:11:23,20.5887560 V
2025-01-02 00:11:48,20.5887540 V
2025-01-02 00:12:13,20.5887540 V
2025-01-02 00:12:38,20.5887550 V
2025-01-02 00:13:04,20.5887540 V
2025-01-02 00:13:29,20.5887520 V
2025-01-02 00:13:54,20.5887550 V
2025-01-02 00:14:19,20.5887530 V
2025-01-02 00:14:44,20.5887540 V
2025-01-02 00:15:09,20.5887570 V
2025-01-02 00:15:34,20.5887550 V
2025-01-02 00:16:00,20.5887540 V
2025-01-02 00:16:25,20.5887560 V
2025-01-02 00:16:50,20.5887550 V
2025-01-02 00:17:15,20.5887560 V
2025-01-02 00:17:40,20.5887520 V
2025-01-02 00:18:05,20.5887540 V
2025-01-02 00:18:30,20.5887570 V
